,id_поста,text_tokens,text_length,preprocessed_comments
14,17329,делать далёкий отвечать часто задавать вопрос прошлый неделя пройти эфир разбираться делать найти список зачислить самый волнующий тема данный момент общежитие ещё дублировать контакт отдел вопрос расселение подготовить ответ ваш вопрос эфир появиться новый вопрос контакт указать выше обращаться узнавать информация узнать заселить август сайт опубликовать список поселение указать весь информация приехать ранний назначить срок поселение поселение начинаться август год ранний срок общежитие поселиться получиться устроить выдать общежитие договориться заселение коммерческий хостел нужно делать близкий день стоить оформлять поменять место общежитие получиться момент публикация список место общежитие распределить мочь отказаться общежитие проживать хостел съёмный квартира документ нужный заселение общежитие инструкция вместе требовать документ опубликовать сайт нужно снимать прежний прописка нужно платить коммунальный услуга ещё стоимость проживание общежитие складываться плата наесть помещение занимать площадь плата пакет коммунальный услуга отопление холодный горячий вода электричество др составлять порядок рубль месяц зависимость общежитие стоимость проживание арендовать общежитие определяться отдельный приказ ректор размещ нный сайт вуз стоимость проживание общежитие межвузовский студенческий городок мсг определяться приказ руководитель мсг оплата производиться полгода семестр оплата общежитие осуществляться полгода арендовать общежитие поселение месяц далее помесячно мсг помесячно закрепить факультет общежитие факультет приоритетный общежитие стараться селить студент фэа общежитие фибс фрт фэл фкть арендовать общежитие селиться студент весь факультет стиральный машина каждый общежитие общежитие прачечный общежитие свой стиральный машина выдавать заселение бельё постельный посуда постельный бель постельный принадлежность матрас одеяло подушка общежитие выдавать иметь сво остальной студент приобретаться самостоятельно повлиять общежитие заселить распределение общежитие происходить централизованно распределение комната происходить общежитие нужно обсуждать заведовать прибытие общежитие оформить социальный стипендия временной регистрация общежитие возможность сосед мочь оказаться студент лэти общежитие мсг мочь оказаться студент вуз комната холодильник холодильник студент приобретать самостоятельно общежитие столовая самостоятельно готовить мсг комната использовать свой микроволновка электрочайник персональный компьютер утюг чайник посуда пр проживать приобретать предварительно следовать ознакомиться приказ ректор ода порядок использование личный электроприбор общежитие спбгэта лэти общежитие мсг использование микроволновка чайник комната запретить,307,"[('весь добрый день подсказать мсг камера хранение вещь хотеть сложить заселение', 11)]"
15,17328,знакомство лэти сегодняшний видео кпп го корпус который ярко украсить плакат наш абитуриент активно ставить реакция пост пара день заключительный ролик реакция выбрать место лэти понравиться большой весь знакомство лэти лэти,31,[]
16,17320,интересный история знакомство лэти часть продолжать выкладывать ваш история знакомство успеть пройти опрос ссылка август поучаствовать розыгрыш мерч,18,"[('первый часть', 2), ('ошибка новичок', 2)]"
17,17318,дождаться присоединяться чат первокурсник лэти,5,[]
18,17317,знакомство лэти сегодняшний ролик продолжать делиться локация лэти залом видеоконференция проходить большой количество мероприятие конференция активно ставить реакция пост пара день заключительный ролик реакция выбрать место лэти понравиться большой весь знакомство лэти лэти,33,[]
19,17311,мный комиссия спбгэта лэти возвращаться прежний режим работа пн пт поступить весь вопрос нужно обращаться деканат смотреть карточка напоминать контракт подать заявление август контактный информация вопрос поступление личный сообщение группа канал подготовительный курс поступление расселение обучаться общежитие университет,38,[]
20,17308,галочка студент лэти поступление контракт необходимо изучить направление выбрать понравиться преодолеть минимальный балл каждый предмет подать заявление заключить договор оплата место закрепляться абитуриент наш университет доступный скидка поступать контрактный форма обучение первый год листать карточка подробный сайт заключить договор способ очно приёмный комиссия адрес ул профессор попов дом корпус дистанционно нужно обратиться колл центр успеть подать заявление контракт август ждать лэти,61,[]
21,17307,запись прямой эфир делать поступление лэти поступить делать далёкий самый популярный вопрос сегодняшний день разобрать прямой эфир начальник управление воспитательный социальный работа диогеновый ксения александрович смотреть тайм код описание видео переходить вопрос который волновать подключаться задавать вопрос немного полезный ссылка расселение общежитие медицинский документ студенческий канцелярия заказать справка выписка приказ стипендия собрание первокурсник ответ часто задавать вопрос поселение вопрос расселение обучаться обратиться управление воспитательный социальный работа увиср п почта тело приём абитуриент лэти,73,"[('', 0), ('извинить воинский уч санкт петербург встать нужно ехать военкомат город обращаться', 11)]"
22,17303,знакомство лэти сегодняшний ролик продолжать делиться локация лэти коворкинг м корпус отдыхать учиться спать общаться друг наш студент активно ставить реакция пост пара день заключительный ролик реакция выбрать место лэти понравиться большой весь знакомство лэти лэти,36,[]
23,17291,знакомство лэти сегодняшний ролик продолжать делиться локация лэти загадочный винтовой лестница активно ставить реакция пост пара день заключительный ролик реакция выбрать место лэти понравиться большой весь знакомство лэти лэти,29,[]
24,17282,,0,"[('добрый день подсказать иметь приоритетный право общежитие', 7)]"
25,17247,прямой эфир делать поступление лэти поступить делать далёкий самый популярный вопрос сегодняшний день давать разбираться вместе прямой эфир прямой эфир пройти наш канал август подключаться задавать вопрос чат волнующий вопрос заранее мочь задать форма обязательно ответить прямой эфир,38,"[('собрание необязательно приходить', 3), ('август собрание фкть состояться', 4), ('вопрос подача заявка поступление вуз госуслуга указать необходимость общежитие ещё шанс получить место немой', 14), ('добрый день друг город подсказать планироваться следующий собрание фкть', 9)]"
26,17226,долгожданный список зачисление бюджет разместить список зачислить доступный сайт поздравлять весь абитуриент зачисление ждать собрание первокурсник встреча лэти,18,"[('изя каток', 2), ('победа', 1), ('поздравление весь прошедшее', 3), ('ураааа', 1)]"
27,17187,знакомство лэти сегодняшний ролик продолжать делиться локация лэти холл м корпус активно ставить реакция пост пара день заключительный ролик реакция выбрать место лэти понравиться большой весь знакомство лэти лэти,29,"[('первый магический', 2), ('смысл знакомиться вуз ещ знать зачислить', 6)]"
28,17157,остаться выход приказ зачисление бюджет отвечать часто задавать вопрос означать колонка высокий приоритет момент публикация конкурсный список издаваться приказ абитуриент поступить значение столбец забрать документ ситуация мочь немного измениться означать запись направление друг направление направление момент публикация конкурсный список абитуриент проходить направление друг направление проходить направление написать колонка высокий приоритет поступить граф пусто момент публикация абитуриент никуда проходить ситуация мочь немного измениться забрать документ почему список август связать уточнение данные госуслуга август мочь публиковать высокий приоритет учёт оригинал показывать конкурсный ситуация приёмный комиссия активно работать абитуриент обзванивать консультировать шанс поступление список некоторый абитуриент выделить серый цвет означать выбрать вуз выйти приказ зачисление постараться разместить сегодня сайт университет весь поступить разослать письмо почта пройти бюджет мочь подать документ контракт документ контракт приниматься август заключить договор оплатить первый семестр обучение август первый год обучение возможность перевестись бюджет,135,"[('гоу сегодня', 2), ('', 0), ('добрый день понимать приказ пока', 5), ('приказ', 1), ('начинать играть новый краска интересно маленький час большой', 8), ('госуслуга прийти', 2), ('госуслуга прийти хотеться ещё сайт увидеть', 6), ('электроника наноэлектроника прислать', 3)]"
29,17155,недавно провести прямой эфир внеучебный деятельность лэти запись посмотреть поделиться полезный ссылка наш активный творческий абитуриент профком студент аспирант лэти активно участвовать жизнь студент организовать множество мероприятие ответственный активный точно сюда арт центр творческий объединение наш университет туда входить квн академический хор клуб чгк студия вокал др студенческий отряд помочь интересно провести лето работать различный сфера клуб настольный игра провести вечер хороший компания интересный игра хотеть начать заниматься спорт продолжить увлекаться помочь спортивный клуб организация создавать множество классный контент абитуриент студент медиацентр лэти хотеть стать киберспортсмен зарабатывать миллион сюда киберспорт лэти любитель почитать обсудить литература существовать книжный клуб лэти экоклуб клуб дебаты студия спортивно бальный танец каждый организация состоять добрый активный студент который удовольствие принять свой ряд первокурсник,118,"[('желать заниматься спортивно бальный танец приглашать наш студия активно участвовать соревнование принимать участие мероприятие вуз танцевальный опыт обязательный', 18), ('жд м наш ряд поиграть битва рокугать спортивный мафия игра', 10)]"
30,17149,знакомство лэти сегодняшний ролик продолжать делиться локация лэти аудитория который учиться наш студент активно ставить реакция пост пара день заключительный ролик реакция выбрать место лэти понравиться большой весь знакомство лэти лэти,31,"[('предложение приказ зачисление реакция пост', 5)]"
31,17110,недавно последний день подача оригинал бюджет абитуриент задаваться вопрос делать далёкий отвечать ждать список зачислить разместить сайт август зачисление прийти письмо подтверждение почта близкий конец август связаться куратор распределить группа информация чат группа куратор разместить социальный сеть необходимо прийти собрание факультет весь необходимый документ оформление фкть несколько собрание течение весь август поступить бюджет нуждаться общежитие заселять весь зачислить бюджет расселение начаться август информация поздний поступить контракт нуждаться общежитие связаться повод консультация телефон пройти бюджет отчаиваться мыслить позитивный возможность пойти контракт год обучение хороший успеваемость перевестись бюджет приём документ контракт продлиться август последний приказ выйти август оплатить обучение помощь материнский капитал воспользоваться образовательный кредит сбербанк консультация телефон ждать,107,"[('добрый день подсказать медсправка нужный', 5), ('добрый день уточнить форма медицинский справка заселение общежитие ознакомиться информация заселение общежитие особенно дата спланировать покупка билет', 17), ('добрый день заселение общежитие нибыть медсправка нужный наш абитуриент вс полагаться прош л флюорография пр бытность студент ходить местный квд справка специально общжитие', 23)]"
32,17095,режим работа приёмный комиссия август уважаемый абитуриент обращать ваш внимание выходной август приёмный комиссия работать август приёмный комиссия работать обычный режим ждать стена университет пн пт встреча лэти,28,"[('неуважаемый приёмный комиссия лететь отвратительный уровень организация конкурсный список ориентироваться приехать дальний восток сдать оригинал уверить вс звонить август говорить проходимый', 21), ('очень интересно балл', 3), ('менее интересно направление подавать', 4), ('список очень легко ориентироваться желе ранжировать список еси фильтр весьма весьма удобно', 12), ('понимать ваш приступ подобный агрессия', 5), ('июль лично приехать приёмный комиссия сказать хороший шанс спрашивать правильно ориентироваться конкурс список ответ отговорить подавать заявление контракт день сказать шанс успеть отвезти аттестат вуз', 25), ('елена', 1), ('подавать говорить пройда выставить высокий приоритет проходить', 7), ('ужасный ситуация', 2)]"
33,17092,недавно провести самый яркий событие лето благодарить весь прийти участвовать радоваться наслаждаться прекрасный летний день создать позитивный атмосфера приятно видеть активный абитуриент заинтересованный наш университет мероприятие понимать приёмный комиссия работать усердно набирать самый хороший первый электротехнический разместить фотография день альбом группа смочь выиграть мерч лэти проходить опрос выигрывать,48,[]
34,17089,знакомство лэти сегодняшний ролик продолжать делиться локация лэти уютный дворик активно ставить реакция пост пара день заключительный ролик реакция выбрать место лэти понравиться большой весь знакомство лэти лэти,28,[]
35,17081,познакомиться лэти недавний пост выкладывать опрос рассказать свой история знакомство лэти получить ответ выбрать необычный история который хотеть поделиться листать карточка ещё пройти опрос мочь сделать ссылка забывать каждый абитуриент прошедший опрос участвовать розыгрыш итог подвести август,37,"[('узный человек период морской бой', 5), ('ошибка новичок', 2)]"
36,17073,приём оригинал бюджет окончить подводить итог смотреть статистика карточка большой промежуточный итог приёмный кампания лэти полезный информация абитуриент напоминать приём документ контрактный форма продолжаться август заключить договор оплатить первый семестр обучение август последний приказ зачисление контракт выйти август ждать лэти,40,"[('приказ зачисление август почему разброс дата зависеть порядок зачисление', 9)]"
37,17056,сегодня настоящий день х последний день приём оригинал документ образование поступать бюджет успеть подать оригинал сегодня сохранять спокойствие следить обновление конкурсный список общаться приёмный комиссия телефон связь голосовать настрой сегодня,30,"[('беседа абитуриент', 2), ('почему обновляться конкурсный список', 4), ('важный день обновление список нулевой', 5), ('сказать окончательный список сколько появиться понятно приём оригинал подача документ госуслуга ожидание сколько время занимать', 15), ('узнать пройти список никак выделить абитуриент', 6)]"
38,17048,знакомство лэти сегодняшний ролик продолжать делиться локация лэти актовый залом активно ставить реакция пост пара день заключительный ролик реакция выбрать место лэти понравиться большой весь знакомство лэти лэти,28,"[('', 0)]"
39,17045,запись прямой эфир внеучебный деятельность лэти данный прямой эфир сотрудник приёмный комиссия лэти хорёвый кирилл рассказать существовать возможность студент внеучебный деятельность лэти смотреть тайм код описание видео переходить вопрос который волновать большой студенческий объединение узнать ссылка подключаться задавать вопрос ждать следующий прямой эфир канал приём абитуриент лэти,47,"[('рассказать новый учебный год ждать хотеть создавать контент фотограф оператор монтажёр дизайнер сценарист продюсер журналист опытный начинающий', 17)]"
40,17042,внимание остаться день успеть подать оригинал документ образование бюджет приём заканчиваться август мск предоставить оригинал лично приёмный комиссия адрес ул профессор попов дом корпус онлайн портал госуслуга отправить почта курьерский служба адрес указать россия санкт петербург ул профессор попов дом корпус приёмный комиссия шанс поступление мочь обращаться приёмный комиссия время работа приёмный комиссия август мск конкурсный список ждать,58,[]
41,17026,рубрика психологический поддержка лэти характер профессия влияние тип личность выбор карьера статистика треть свой жизнь человек проводить работа поэтому последний год видеть абитуриент вуз стараться уделять особый внимание выбор будущий профессия сделать правильный выбор который прийтись сожалеть правило выбор профессия опираться престиж востребованность соизмерять свой интерес предпочтение возможность который оптимальный выбор иной карьерный путь должный строиться уч личностный взгляд выбирать учёт особенность характер сформировать тип личность существенный фактор позволять сделать осознанный выбор являться сформировать профессиональный идентичность теория джон холланд профессиональный идентичность описывать ясный стабильный картина цель интерес талант теория предполагать каждый человек иметь предпочтение склонность определённый вид деятельность джон холланд выделить основный тип личность который влиять наш профессиональный самоопределение подготовить подробный описание каждый тип карусель каждый обладать уникальный сочетание данные личностный тип помогать определиться профессиональный важно помнить теория служить весь руководство должный учитывать наш интерес ценность умение процесс выбор карьера понимание свой тип личность являться полезный инструмент эффективный планирование будущее возможность полный мера раскрыть свой потенциал узнать тип личность наиболее выраженный предлагать пройти небольшой тест группа центр психологический поддержка лэти,170,[]
