,id_поста,text_tokens,text_length,preprocessed_comments
50,15704,,0,"[('итмем который итмем хрен посм ться почему звать хрен посм ться первак пост хрен посм ться', 16), ('доступ', 1), ('мем устареть', 2), ('откопать раритет', 2)]"
51,15694,,0,"[('незаметно выебнуться мак', 3), ('подписываться блум блог', 3)]"
52,15686,отчислиться,1,"[('отчислиться конец бакалавриат', 3)]"
53,15684,,0,"[('стоить', 1), ('ставить алхимик сессия чувствовать инвалид рука нога', 7), ('', 0), ('учить падеж', 2)]"
54,15673,итмый переводиться учиться кайфовать частый свой физика,7,"[('ктшникнуть', 1), ('', 0), ('', 0), ('плохо застать', 2)]"
55,15664,,0,"[('выбирать итмый выбирать вообще', 4), ('объяснить итмый человек порабощать', 4)]"
56,15657,,0,"[('главное успеть зум зайти отметиться', 5), ('скоростной сон', 2), ('проспать', 1)]"
57,15652,снова сказать яндекс,3,"[('мем мем корпоративный стилистика следовать соблюдать', 6), ('', 0), ('', 0), ('сервер упасть', 2)]"
58,15647,,0,"[('', 0)]"
59,15637,,0,"[('мем вообще ходить странный мероприятие дом сидеть лола', 8)]"
60,15633,,0,"[('', 0)]"
61,15612,итмый хороший курс открытый образование курс,6,"[('', 0), ('внимание рофл ждать рофл просьба читать бонч нужно обьяснил прога програмирование квадрокоптер случайно наш л чело комма паблик котрого писать ваш чело скинуть итмошный курс написать нелёля изучение понять пара день дочитать ловить рофл каждый студент поступление дарить подарок курс хождение курилка', 42)]"
62,15608,удар пр секретарь сообщать сегодняшний акция посвятить апрель день студент инфобез пройти строго соответствие наметить план выражать наш благодарность итмем содействие дарить пожарский котлета очко барс администрация надеяться плодотворный сотрудничество дальнейший,31,"[('приятно день побыть лэти конец конец близкий вязьма гк красивый', 10)]"
63,15605,срочный объявление туалет университет итмый признать иноагент,7,"[('труба который просачиваться пэрри утконос', 5), ('политечь', 1)]"
64,15598,идти студент пара видеть корпус итмый стоить зайти туда лэти попасть,11,"[('жиза', 1), ('литмый', 1), ('лэти корпус итмый', 3)]"
65,15594,удар пресс центр микробитый медиа сообщать первый нововведение жизнь студент итмый столовая наладить поставка пирог волынск данный шаг предпринять быстрый адаптация студент жизнь лэти,24,"[('балл барс ректорат выдать фем бой жена удар', 8), ('удар', 1), ('новый студент лэти получить студенческий капитал размер чирика', 8), ('социальный кредит пирожок волынский', 4)]"
66,15588,молния пресс центр иа панорама итмый сообщать присоединение весь итмый фтмить лэти фтмить выделяться независимый университет обратиться подробный комментарий администрация вуз оперативный ответ получить,24,"[('славиться магический электротехнический', 3), ('', 0), ('жалко наоборот', 2)]"
67,15586,день студент инфобез,3,"[('студент инфобез запомнить', 3), ('', 0), ('', 0)]"
68,15581,,0,"[('хотеть обидеть обидеть хотеть', 4), ('навсегда наш сердце', 3), ('новый конкурс весна скоро', 4)]"
69,15570,ост мся связь,3,"[('сканировать код телефон который видеть код', 6), ('оставлять ссылка вк вк интересный мем', 6), ('реально нетрадиционный мем', 3)]"
