,text_tokens,text_length
61,политех ярмарка профессия старшеклассник познакомиться профессия ярмарка компетенция будущее который проходить ноябрь протяжение день подросток иметь возможность познакомиться ведущий учебный заведение предприятие город освоить первый практический навык интересовать профессия мастер класс ярмарка принять участие преподаватель представитель комиссия политех сотрудник дать консультация школьник родитель поступление вуз помочь выбрать направление подходящий запрос абитуриент,51
62,готовиться егэ ещ начать ноябрь возможность записаться месячный курс подготовка егэ снизить цена скидка распространяться предмет получить скидка отправить заполнить заявление почта указать письмо промокод поль вс скидка ваш ознакомиться стоимость форма проведение занятие мочь ссылка,36
63,вжухнуть новый открытый лекторий преподаватель кафедра физика провести лекция тема термодинамика участник смочь увидеть следующий опыт броуновский движение внутренний трение воздух диффузия аммиак воздух зависимость теплопроводность воздух давление изотермический сжатие углекислый газ переход серный эфир критический состояние влияние давление температура плавление лёд опыт жидкий азот декабрь больший физический аудитория ауд главный учебный корпус спбп звать друг одноклассник регистрироваться ссылка,59
64,академия талант завершиться профильный смена инженер нефтяник будущее образовательный событие пройти поддержка программа социальный инвестиция родный город научный подразделение компания газпром нефть санкт петербург наставник молодёжный команда выступить сотрудник санкт петербургский политехнический университет пётр великий учиться класс день погрузиться область специальный термин знание основный физико химический свойство нефть природный газ начать работа реальный промышленный кейс который продолжить стена политех ещё ребята ждать экскурсия объект партнёр встреча эксперт газпром нефть лекция специалист наставник несколько месяц старшеклассник представить готовый исследовательский проект,79
65,возможность поступить политех бви ноябрь февраль проходить отборочный этап межрегиональный олимпиада школьник верченко информатика компьютерный безопасность принять участие мочь школьник класс олимпиада входить перечень рсош победа призерство заключительный этап класс подтверждение результат егэ менее балл давать возможность зачисление университет вступительный испытание получение балл профильный предмет олимпиада регистрироваться ссылка принять участие,50
66,сегодня отмечаться день проектировщик направление выбрать политех стать ответ строительство строительство уникальный здание сооружение атомный станция проектирование эксплуатация инжиниринг энергетический машиностроение машиностроение подробный направление смотреть наш видеоролик вс онаправление,29
67,ноябрь пройти региональный фестиваль конкурс научно технический творчество ребёнок день высокий технология политех принимать н м участие фестиваль дневный онлайн марафон задание следующий направление бумажный моделирование робототехника создание программирование робот инженерный соревнование решение технический кейс триз задание теория решение изобретательский задача научный лаборатория опыт эксперимент профориентир задание связанный профессия научно технический отрасль принять участие команда учиться класс участник должный возраст параллель класс собирать команда регистрироваться ноябрь ссылка сайт фестиваль,69
68,ноябрь опубликовать новый правило ма учебный год поэтому вводить серия пост который рассказать получить дополнительный балл егэ поступление сегодня познакомиться основный ида далее рассказать мероприятие олимпиада помочь получить балл пост дальнейший смочь найти хештег ида,35
69,ещ учиться школа готовиться поступление вуз специальность новость открыть регистрация олимпиада уровень рсош технокубок спортивный программирование мфть мгту н бауман главный приз поступление ведущий российский вуз экзамен балл егэ информатика ещ участвовать уникальный интересный задание который готовить участник закрытый сообщество талантливый молодой программист бонус мерч персональный консультация эксперт приоритет отбор стажировка образовательный проект получение стипендия компания поездка москва сч топ участник подготовка финал методический материал разбор задача каждый независимый отборочный тур возможность потренироваться состязание ознакомительный раунд регистрироваться прямо первый отборочный раунд пройда ноябрь,83
70,ноябрь приглашать ярмарка профессия школьник форум компетенция будущее исторический парка россия история ул бассейный далее полезный выставка образовательный учреждение политех мастер класс квест лекторий профессия тест деловой игра тренинг викторина тема выбор профессия подробность мероприятие сайт,36
71,неделя время познакомиться высокий школа кибербезопасность икнк день открытый дверь ноябрь суббота ауд главный учебный корпус политехнический регистрация ознакомиться направление институт ссылка дод,23
72,нужно сделать дн м открытый дверь политех планировать декабрь зарегистрироваться дод регистрация мочь выбрать удобный формат участие очно онлайн регистрация необязательно стоить ознакомиться направление университет задать вопрос представитель институт приёмный комиссия направление позвать друг день открытый дверь политех следить обновление наш социальный сеть хештег дод скоро рассказать программа который жд декабрь,51
73,сегодня рубрика всеонаправление знакомить наш абитуриент направление управление качество институт машиностроение металлургия транспорт год ноябрь отмечаться всемирный день качество,19
74,задумываться трудоустройство проект студент мамин подруга помогать студент молодой специалист построить карьерный путь выбрать самый профессия актуальный вакансия стажировка сфера бизнес менеджмент ежедневный подборка карьерный мероприятие стипендия бесплатный курс вебинар специалист представитель топ компания последний вебинар проект прожарка резюме карьерный консультант подписываться хотеть первый узнавать карьерный лайфхак расти специалист,49
75,сегодня отмечаться день градостроительство приглашать день открытый дверь инженерный строительный институт институт проводить обучение направление строительство строительство уникальный здание сооружение техносферный безопасность дизайн дизайн архитектурный среда ноябрь главный учебный корпус смочь встретиться представитель университет получить ответ свой вопрос поступление регистрация дод,41
76,выходной политех покорять сибирь выставка навигатор поступление отправляться тюмень политех ноябрь встречаться западный сибирский инновационный центр ул республика далее выставка проходить обязательно зарегистрироваться посетить навигатор поступление наш абитуриент житель тюмень ставить лайк ида выставка,34
77,терние поступление вступительный испытание многопрофильный инженерный олимпиада звезда проводиться направление школьник класс естественный наука техника технология входить перечень рсош давать право победитель призёр поступить вступительный испытание получить балл профильный предмет отборочный этап профиль проводиться политех время написание отборочный этап час участник необходимо взять письменный принадлежность справка школа согласие обработка персональный данные прикрепить пост ноябрь естественный наука класс ноябрь техника технология класс участие необходимо заполнить форма сайт олимпиада,67
78,неделя продолжать знакомиться институт компьютерный наука кибербезопасность приходить день открытый дверь высокий школа программный инженерия ноябрь суббота ауд главный учебный корпус политехнический регистрация ознакомиться направление высокий школа ссылка дод,29
79,знать наш группа подписать абитуриент студент политех жд м форум будущий магистр онлайн формат ноябрь интенсивный день глубокий изучить теоретический практический аспект разобрать опыт успешный компания поработать решение кейс трек гуманитарий технарь управленец экономист актуальный знание практик кейс компания балл победа конкурс портфолио спбп твой билет магистратура политех экзамен регистрация форум,51
80,политех принять участие работа петербургский международный газовый форум который проходить октябрь ноябрь наш стенд представить передовой научный разработка технология подразделение политех отечественный комплекс аддитивный производство изготовление высокотехнологичный деталь энергетический машиностроение установка селективный лазерный плавление высокотемпературный подогрев рабочий зона меркурить новый подход проведение коррозионный испытание создание физически обоснованный цифровой модель новый обучать система база технология смотреть наш фотоподборка ещ большой фотка сайт,61
81,приходить день открытый дверь политех провести классный выходной декабрь главный учебный корпус спбп ул политехнический регистрация,16
82,вчера пройти прямой эфир новый правило приём благодарить весь участвовать надеяться вебинар получиться полезный интересный ваш удобство собрать самый важный момент который должный знать абитуриент,25
83,,0
