,text_tokens,text_length
19,день открытый дверь факультет информационно измерительный биотехнический система факультет информационно измерительный биотехнический система инновационный креативный высокотехнологичный факультет образовать стык прорывный направление наука техника факультет осуществлять подготовка следующий направление приборостроение лазерный акустический навигационный система приборостроение информационно измерительный система геоинформационный технология биотехнический система технология техносферный безопасность день открытый дверь фибс ждать встреча преподаватель студент презентация поступление год ответ интересовать вопрос направление подготовка учебный внеучебный жизнь факультет дата ноябрь адрес спбгэта лэти ул профессор попов далее успеть зарегистрироваться встреча день открытый дверь фибс,80
20,пройти первый день открытый дверь спбгэта лэти новый учебный год октябрь состояться день открытый дверь весь университет лэти посетить абитуриент родитель гость успеть пообщаться представитель факультет приёмный комиссия сходить экскурсия кампус университет успеть посетить день открытый дверь ноябрь провести онлайн день открытый дверь спбгэта лэти регистрация представитель весь факультет ждать свой день открытый дверь анонс регистрация сайт раздел событие напоминание участник день открытый дверь октябрь розыгрыш мерч продолжаться успеть пройти опрос ноябрь ссылка давать вспомнить пройти день открытый дверь посмотреть фото,81
21,санкт петербургский государственный электротехнический университет лэти участник выставка образование карьера г пермь университет основать год являться старый электротехнический вуз европа спбгэта лэти сегодня образовательный центр мировой имя факультет институт лаборатория исследовательский институт технологический парк военный учебный центр научно образовательный центр яркий внеучебный жизнь узнать подробный поступление программа обучение пообщаться приёмный комиссия университет стенд лэти выставка образование карьера вход выставка свободный сайт выставка встреча пермь,64
22,розыгрыш фотография день открытый дверь лэти прикреплять комментарий оригинальный фотография день открытый дверь хороший фотография опубликовать наградить мерч наш университет фотография презентовать актовый зал время розыгрыш,26
23,розыгрыш мерч лэти участник день открытый дверь друг участник группа абитуриент лэти который находиться день открытый дверь выбрать случайный образ счастливчик подарить приз итог подвести пятница участие необходимо заполнить анкета ссылка,31
24,лэти образовательный выставка санкт петербург октябрь санкт петербург пройда выставка вуз колледж навигатор поступление хотеть узнать выбрать профессия подготовиться поступление узнать информация спбгэта лэти вуз представитель студент зарядиться мотивация обучение почувствовать атмосфера студенчество приходить навигатор поступление дата время октябрь сб вс адрес дк киров большой проспект васильевский остров дом выступление заместитель руководитель центр абитуриент спбгэта лэти топ ошибка поступление пройти выставка октябрь полный расписание мероприятие ссылка успеть получить бесплатный билет выбрать свой будущий профессия лэти выставка навигатор поступление ждать,79
25,олимпиада автономный транспорт школьник класс приглашать школьник класс принять участие олимпиада автономный транспорт который пройти октябрь ноябрь олимпиада организоваться институт искусственный интеллект спбгэта лэти отечественный разработчик учебный робототехнический комплекс ао роббый олимпиада включать трек школьник обработка изображение задача автономный транспорт данный трек необходимо разработать программа выполнять типовой задача зрение автономный автомобиль распознавание препятствие разметка знак решение оцениваться точка зрение точность быстродействие участник организовать вебинар консультация создание решение задача пример исходный данные опубликовать заранее использовать технология присоединяться регистрироваться ссылка регистрация открыть анонс вопрос команда олимпиада сайт олимпиада,86
26,лэти организатор национальный технологический олимпиада школьник профиль технологический мейкерство регистрация открыть профиль технологический мейкерство позволить учиться класс самостоятельно пройти весь цикл производство электронный устройство идея воплощение собирать свой команда человек регистрироваться октябрь сайт материал подготовка разместить сайт олимпиада найда подробность порядок проведение условие участие получить большой информация задать свой вопрос вк тг вк профиль технологический мейкерство встреча олимпиада,58
27,осенний профориентационный практика школьник спбгэта лэти который ждать самый продуктивный осенний каникулы лэти потрясать день вместе октябрь ноябрь вторник четверг ежедневно заявка приниматься октябрь количество место ограничить выбор направление технический гуманитарный менеджмент участие практика бесплатный ждать занятие лаборатория развивать мастер класс экскурсия полезный встреча преподаватель студент ещ весь интересный максимально близкий знакомство университет близкий стать студент бонус участие профориентационный практика давать дополнительный балл поступление спбгэта лэти индивидуальный достижение записаться практика возникать вопрос обращаться,73
28,лэти образовательный выставка санкт петербург октябрь год конгресс холл васильевский состояться ежегодный образовательный выставка горизонт образование посвятить проблема выбор учебный заведение будущий профессия выставка приглашаться выпускник школа родитель хотеть узнать большой спбгэта лэти учебный заведение каждый участник выставка уникальный возможность получить консультация психолог пройти тест профориентация пообщаться приёмный комиссия первый электротехнический вуз спбгэта лэти адрес м спортивный наб река смоленка далее конгресс холл васильевский дата время октябрь среда вход свободный ждать,71
29,определиться профессия направление подготовка приходить день открытый дверь факультет день открытый дверь возможность узнать вс поступление лэти пообщаться представитель руководство факультет задать вопрос представитель комиссия присоединиться мастер класс экскурсия кафедра учебный лаборатория факультет расписание день открытый дверь дод фрт ноябрь регистрация дод фэл ноябрь регистрация дод фкть декабрь регистрация дод фэа декабрь регистрация дод фибс ноябрь регистрация дод инпротех ноябрь регистрация дод гф ноябрь регистрация анонс близкий мероприятие сайт раздел событие встреча лэти,73
30,,0
31,,0
32,день открытый дверь спбгэта лэти приглашать абитуриент родитель принять участие день открытый дверь день открытый дверь пройти очный формат октябрь год адрес санкт петербург ул профессор попов корпус мероприятие познакомить весь факультет разработка рассказать помочь поступление спбгэта лэти провести увлекательный кейс игра ответить животрепещущий вопрос вместе экскурсия посмотреть основной учебный корпус прогуляться территория университет ещё весь интересный присоединиться мероприятие необходимо заранее зарегистрироваться внимательно проверять указанный почта прийти накануне мероприятие информационный письмо ссылка регистрация очный день открытый дверь день открытый дверь спбгэта лэти онлайн формат узнать обучение лэти преимущество особенность приём год выходить дом дата ноябрь год программа выступление ответственный секретарь приёмный комиссия особенность обучение лэти преимущество особенность приём год экскурсия территория университет лаборатория факультет абитуриент иметь возможность задать интересовать вопрос время онлайн трансляция выходить дом регистрироваться мероприятие день мероприятие отправить ссылка подключение ссылка регистрация дистанционный день открытый дверь весь вопрос обращаться следующий контакт писать сообщение группа,146
33,информация стать студент присоединяться сентябрь стартовать второй сезон акселерационный программа стартап участие программа давать возможность получить удостоверение прохождение программа переподготовка основа проектный деятельность заполнить заявка проект студенческий стартап победитель который получать млн руб проект который занять первый место итог финальный защита получить приз подарок компания партнёр выпускник акселерационный программа стартап г получить млн рубль реализация свой идея приглашать участие команда студент весь курс х человек идея проект программа длиться месяц сентябрь г декабрь г дистанционный формат каждый команда закрепляться профессиональный трекер число сертифицированный специалист нти который помочь вывести проект новый уровень программа реализоваться поддержка федеральный проект платформа университетский технологический предпринимательство регистрация открыть сайт список участник команда направить сентябрь руководитель программа александр прошкин расписание занятие регистрация подробный информация доступный сайт стартаплэти рф,121
