,text_tokens,text_length
374,злодей который заходить туалет хим корпус четверг умолять перестать нюхать унитаз невозможно посрать чувство вина,15
375,делать влюбиться препод весь пара пара замещать втрескаться,8
376,хотеть перевестись направление инноватик человек направление отозваться хотеть задать вопрос,10
377,потерять очки ч рном футляр предположительно корпус аудитория гз аудитория наслать просьба написать лс,14
378,здодея который испражняться хим корпус четверг умолять носить освежитель невозможно зайти туалет,12
379,нужный помощь ксе выбрать лайкам,5
380,студент спбп распространяться слух организация подпольный новогодний вечеринка политехник последний масштабный студенческий тусовка уходить год встреча собраться хороший студент наш универ веселие танец утро преддверие грандиозный праздник новый история куча друг знакомство море яркий эмоция вс создать вместе успеть приобрести билет повышение цена действовать групповой скидка шт заказ пропустить хороший новогодний студенческий событие санкт петербург жд м кожевенный линия севкабель порт,61
381,гз любитель троллейбус,3
382,потеряться пропуск выпасть гз спорткомплекс найти просить написать комма лс,10
383,анон последствие узнавать являться мёртвый душа общага выселение вуз мочь проблема,11
384,мочь помочь лабораторный физика аноним,5
385,заочник создать общий беседа весь курс смочь знакомиться задавать вопрос искать задание далее добавление беседа написать сообщение группа хотеть беседа заочник комментарий пост,23
386,ребята сохранять контакт помочь учёба,5
387,весь привет проходить экзамен физика зеликмана практика теория мочь фото билет пример анонимно,13
388,анонимно делать расчётки гидравлик писать комент студент политех нужно работа стандарт вуз проверять очень строго,15
389,сдавать зачёт история кашеваров н вопрос сильно душить анон,9
390,знать нужно обращаться хотеть поменять физкультура ипмэит,7
391,нибыть знать кузнецов артемий алексеевич вк соц сеть,8
392,найти бск вход территория кампус бизнес центр,7
393,брать академ живить общага подсказать оставлять право находиться,8
394,,0
395,единственный долг физкультура прошлый семестр мочь отчислить анонимно,8
396,искать м ртвую душа общага девушка мочь доплатить сверху анонимно отписаться лайкам,12
397,ск найти пропуск забирать охрана ск,6
398,наслать пропуск оставить пост охрана главный здание,7
399,ребята мочь помочь доступ электронный библиотека очень нужно диплом,9
400,переводиться политех бюджет итмый бюджет платок мочь поделиться свой опыт готовый заплатить символичный сумма вычислить лайкам,16
401,допустить предмет чисто теоретически допёс отчислить сразу подождать пока смочь защитить,11
402,искать человек который решить задача бройль шрёдингер найти лайкам,9
403,ответ введение анон найти лайкам,5
404,наслать пропуск корпус передать охрана,5
405,тяжело сдать история россия ольга павлов константинович,7
406,весь привет хотеть поступить магистратура кафедра лёгкий сложный попасть экзамен сдавать готовиться целое хотеть узнат поступление институт иммит,18
407,привет курс брать академ семейный обстоятельство происходить сколько время уходить рассмотрение,11
408,мочь решить задача теоретический механика,5
409,смочь помочь написание эссе стр предмет цифровой трансформация бизнес должный состоять х часть описание среда компания который писать описать проблема выявление нжя который удобный весь решить современный цифровой технология выбрать инструмент цифровизация готовый продукт индивидуальный решение найти лайкам комментарий отписаться,40
410,слышать студент получить допёс отчислять,5
411,весь привет опена еда физр программа проходить отметиться галочка прогресс учт н реально включать вебок показывать комната тд,18
412,рассказать нибыть ксения райтер,4
413,реально сдать экзамен соколов анон давать запроверочный экзамен похер,9
414,ребята сохранять контакт помочь учёба,5
415,,0
416,подсказать трудно переезжать общежитие,4
