,text_tokens,text_length
315,добрый день оставить белый электронный книга аудитория мочь находить отозваться комментарий,11
316,браться академ нужно анон,4
317,господин оставить шаль аудитория отнести гардероб корпус,7
318,сдать экзамен прогул анон,4
319,потеряшка отнести гардероб корпус,4
320,весь привет искать мёртвый душа общежитие найти лайкам,8
321,потерять телефон туалет передать вахта,5
322,помочь сделать остаться лаба диаграмма архис бесплатно анон,8
323,мочь помочь задача бжд практика курс фкть анон,8
324,анон вторник аудитория оставить шарф обращаться гардероб корпус,8
325,видос канал ютуба разобраться тоэ,5
326,добрый день подсказать мочь видеть потерять наушник думать физкультура пара раздевалка корпус точно наушник ч рный больший модель помочь найти пропажа очень благодарный контакт малай арсений группа,27
327,друг первокурсник который попасть сизовой ида лаба защитить ровно мочь отозваться комментарий сизовой смочь защититься оказать помощь совет пример работа написать лс анонимно,23
328,найти карточка имя ольга григорьев отдать гардероб первый корпус,9
329,весь привет группа маг фрт поток круто пригласить возможность,9
330,добрый вечер егор вертинский наш л твой карта отдать кпп,10
331,найти коричневый зонтик аудитория отнести гардероб корпус,7
332,мочь сделать идз тоэ курс денежка анон,7
333,найти пруфанит ваш,3
334,ребята год выше надстройка анон,5
335,забыть зонтик пара отнести гардероб,5
336,подсказать переводить середина год группа долго длиться процесс нужный веский причина анонимно,12
337,число месяц стипендия анон,4
338,получить общага платок живой шь км уник курс анон,9
339,весь благо подсказать отправить пересдача зач слететь стипендия,8
340,подсказать лайфхак подготовка сессия матана литвинов конкретно материал сессия нужно учить вс корка корка билет оказаться сюрприз анонимно весь печенька,20
341,примерно число проходить комиссия зимний май перена некст комс сказать декабрь начало конец сталкиваться анон,15
342,фкть сема литвинов матана анонимно,5
343,помочь написать эссе экономика анонимно,5
344,весь привет мочь нибыть помочь парочка задача физика защита лаб естественно бесплатно фкть курс анон,15
345,группа человек кавказ,3
346,проходить защита лаб туральчук п фомнэ анон,7
347,найти наушник корпус кафедра ксу оставить аудитория,7
348,искать кунчик фкть няшиться группа контейнер анон,7
349,ваш одногруппник новый,3
350,нибыть конспект матана ый курс препод осетровый очень признательный анон найти лайкам,12
351,наслать шарф лекция бжд ждать хозяин вахта подоконник гордероба принять потеряшка,11
352,ходить весь семестр офп прийти зач тный неделя сдать норматив получить зач,12
353,найти отдать гардероб корпус,4
354,подсказать парковка ученик вуз сколько стоить,6
355,крайне сильно нужный человек который сделать деньга домашка межличностный общение малый группа организация анон,14
356,существовать поверье контрактник сессия относиться лояльный мочь фкть,8
357,случаем находить корпус ещё зонтик чёрный надпись ручка крючок просьба вернуть,11
358,весь привет калининград написать лс очень хотеться послушать отзыв город человек,11
359,кафедра прикладной экономика наслать перчатка лежать гардероб корпус,8
360,весь привет мочь помочь матлабый отчёт практика нужно смоделировать схема сделать кой расчёт цена договориться,15
361,прогулять месяц учёба вариант отчислиться,5
362,подсказать ходить физр анон,4
363,получить справка академический отпуск анон,5
364,делать столкнуться травля группа,4
365,хотеть сделать искренний комплимент парень который учиться курс старший ненавидеть делать хотеться искренне сказать приятный вещь обрадоваться хотеться сделать добрый нибыть дело анон,23
366,смочь помочь начерталка отдельный плата,5
367,представить отчисление означать формулировка означать приказ подписать ещ время манёвр,10
368,подсказать получить справка уч бе онлайн,6
369,набрать слишком долг числанута,4
370,универ записаться нибыть курс изучение второй язык язык англиский изучаться вуз анон,12
371,уйти академ закрыть предмет вернуться следующий год результат закрытый предмет сохраниться,11
372,девочка который встретить сегодня примерно выход третий корпус ещё мненькай гф понять сказать вместе мз дать нибыть знать,18
373,проходить экзамен тоэ зубарев курс анон,6
374,найти отдать гардероб,3
375,подсказать узнать дата новогодний каникулы целое расписание зачёт сессия,9
376,девушка хотеть познакомиться ставить,4
377,подсказать документ прописать праздничный выходной день учиться год,8
378,практика второй курс оплачивать,4
379,найти первый этаж корпус отнести гардероб,6
380,закрыть долг прошлый фэа курс анон,6
381,анон окончить вуц прош л сбор офицер запас заканчивать магистратура получить военный билет диплом бакалавр опыт откликнуться коммент,18
382,лайк недосып депрестись посмотреть сколько,5
383,перевестись магистратура курс университет наличие академический задолженность уточнить вопрос анон,10
384,анон сказать отчисляться зимний сессия вообще план,7
385,ребята прийти экзамен причина болезнь последствие,6
386,рассказать отрабатываться лекция анон,4
387,старшекурсник хотеть узнать ваш мнение ноутбук взять,7
388,весь привет сказать войти здание лэти вход электронный пропуск окончить универ год,12
389,приём маг сдавать вступительный смотреть диплом бакалавр,7
390,искать девушка сводить кино сегодня ночью выбрать лайкам анон,9
391,находить стилус идея корпус,4
392,находить вчера шарф предположительно корпус найти написать лс,8
393,лабораторный этаж оставить пальто отнести гардероб корпус,7
